file1,file2,true_label
tipo_0/ar1/1/1.py,tipo_0/ar1/2/2.py,0
tipo_0/ar2/1/1.py,tipo_0/ar2/2/2.py,0
tipo_0/ar3/1/1.py,tipo_0/ar3/2/2.py,0
tipo_0/ar4/1/1.py,tipo_0/ar4/2/2.py,0
tipo_0/ar5/1/1.py,tipo_0/ar5/2/2.py,0
tipo_0/ar6/1/1.py,tipo_0/ar6/2/2.py,0
tipo_0/ar7/1/1.py,tipo_0/ar7/2/2.py,0
tipo_0/ar8/1/1.py,tipo_0/ar8/2/2.py,0
tipo_0/ar9/1/1.py,tipo_0/ar9/2/2.py,0
tipo_0/ar10/1/1.py,tipo_0/ar10/2/2.py,0
tipo_0/ar11/1/1.py,tipo_0/ar11/2/2.py,0
tipo_0/ar12/1/1.py,tipo_0/ar12/2/2.py,0
tipo_0/ar13/1/1.py,tipo_0/ar1/32/2.py,0
tipo_0/ar14/1/1.py,tipo_0/ar1/24/2.py,0
tipo_0/ar15/1/1.py,tipo_0/ar1/2/52.py,0
tipo_0/ar16/1/1.py,tipo_0/ar1/2/26.py,0
tipo_0/ar17/1/1.py,tipo_0/ar17/2/2.py,0
tipo_0/ar18/1/1.py,tipo_0/ar18/2/2.py,0
tipo_0/ar19/1/1.py,tipo_0/ar19/2/2.py,0
tipo_0/ar20/1/1.py,tipo_0/ar20/2/2.py,0
tipo_0/ar21/1/1.py,tipo_0/ar21/2/2.py,0
tipo_0/ar22/1/1.py,tipo_0/ar22/2/2.py,0
tipo_0/ar23/1/1.py,tipo_0/ar23/2/2.py,0
tipo_0/ar24/1/1.py,tipo_0/ar24/2/2.py,0
tipo_0/ar25/1/1.py,tipo_0/ar25/2/2.py,0
tipo_0/ar26/1/1.py,tipo_0/ar26/2/2.py,0
tipo_0/ar27/1/1.py,tipo_0/ar27/2/2.py,0
tipo_0/ar28/1/1.py,tipo_0/ar28/2/2.py,0
tipo_0/ar29/1/1.py,tipo_0/ar29/2/2.py,0
tipo_0/ar30/1/1.py,tipo_0/ar30/2/2.py,0
tipo_1/ar73/1/r/57/0/834690.py,tipo_1/ar73/2/b/46/3/930316.py,1
tipo_1/ar80/1/r/55/0/835129.py,tipo_1/ar80/2/b/41/2/834569.py,1
tipo_1/ar86/1/r/51/1/835311.py,tipo_1/ar86/2/b/46/3/930316.py,1
tipo_1/ar82/1/r/55/0/835129.py,tipo_1/ar82/2/b/46/3/930316.py,1
tipo_1/ar74/1/r/59/2/836179.py,tipo_1/ar74/2/r/55/0/835129.py,1
tipo_1/ar79/1/r/55/0/835129.py,tipo_1/ar79/2/r/50/0/835339.py,1
tipo_1/ar85/1/r/51/1/835311.py,tipo_1/ar85/2/b/46/0/927583.py,1
tipo_1/ar78/1/r/55/0/835129.py,tipo_1/ar78/2/r/51/1/835311.py,1
tipo_1/ar72/1/r/57/0/834690.py,tipo_1/ar72/2/b/46/0/927583.py,1
tipo_1/ar75/1/r/59/2/836179.py,tipo_1/ar75/2/r/50/0/835339.py,1
tipo_1/ar84/1/r/51/1/835311.py,tipo_1/ar84/2/b/41/2/834569.py,1
tipo_1/ar69/1/r/57/0/834690.py,tipo_1/ar69/2/r/51/1/835311.py,1
tipo_1/ar87/1/r/51/0/697219.py,tipo_1/ar87/2/r/51/0/697224.py,1
tipo_1/ar66/1/r/52/0/835240.py,tipo_1/ar66/2/b/46/3/930316.py,1
tipo_1/ar20/1/r/73/4/1256320.py,tipo_1/ar20/2/r/73/4/1256315.py,1
tipo_1/ar70/1/r/57/0/834690.py,tipo_1/ar70/2/r/50/0/835339.py,1
tipo_1/ar89/1/r/51/0/697224.py,tipo_1/ar89/2/r/51/0/697205.py,1
tipo_1/ar57/1/r/64/4/1012765.py,tipo_1/ar57/2/r/64/4/1012762.py,1
tipo_1/ar81/1/r/55/0/835129.py,tipo_1/ar81/2/b/46/0/927583.py,1
tipo_1/ar71/1/r/57/0/834690.py,tipo_1/ar71/2/b/41/2/834569.py,1
tipo_1/ar76/1/r/59/2/836179.py,tipo_1/ar76/2/b/41/2/834569.py,1
tipo_1/ar93/1/b/61/3/1356221.py,tipo_1/ar93/2/b/61/3/1356225.py,1
tipo_1/ar21/1/r/73/4/1357277.py,tipo_1/ar21/2/r/73/4/1357280.py,1
tipo_1/ar67/1/r/57/0/834690.py,tipo_1/ar67/2/r/59/2/836179.py,1
tipo_1/ar56/1/r/64/4/1012765.py,tipo_1/ar56/2/r/64/4/1012763.py,1
tipo_1/ar88/1/r/51/0/697219.py,tipo_1/ar88/2/r/51/0/697205.py,1
tipo_1/ar58/1/r/64/4/1012763.py,tipo_1/ar58/2/r/64/4/1012762.py,1
tipo_1/ar68/1/r/57/0/834690.py,tipo_1/ar68/2/r/55/0/835129.py,1
tipo_1/ar83/1/r/51/1/835311.py,tipo_1/ar83/2/r/50/0/835339.py,1
tipo_1/ar77/1/r/59/2/836179.py,tipo_1/ar77/2/b/46/3/930316.py,1
tipo_2/ar30/1/r/56/0/834702.py,tipo_2/ar30/2/r/50/0/835339.py,2
tipo_2/ar29/1/r/56/0/834702.py,tipo_2/ar29/2/r/51/1/835311.py,2
tipo_2/ar23/1/r/56/0/834702.py,tipo_2/ar23/2/r/49/0/835366.py,2
tipo_2/ar25/1/r/56/0/834702.py,tipo_2/ar25/2/r/57/0/834690.py,2
tipo_2/ar27/1/r/56/0/834702.py,tipo_2/ar27/2/r/59/2/836179.py,2
tipo_2/ar28/1/r/56/0/834702.py,tipo_2/ar28/2/r/55/0/835129.py,2
tipo_2/ar24/1/r/56/0/834702.py,tipo_2/ar24/2/r/52/0/835240.py,2
tipo_2/ar26/1/r/56/0/834702.py,tipo_2/ar26/2/r/59/3/836677.py,2
tipo_2/ar27/1/r/56/0/834702.py,tipo_2/ar27/2/r/59/2/836179.py,2
tipo_2/ar28/1/r/56/0/834702.py,tipo_2/ar28/2/r/55/0/835129.py,2
tipo_2/ar29/1/r/56/0/834702.py,tipo_2/ar29/2/r/51/1/835311.py,2
tipo_2/ar30/1/r/56/0/834702.py,tipo_2/ar30/2/r/50/0/835339.py,2
tipo_2/ar31/1.py,tipo_2/ar31/2.py,2
tipo_2/ar32/1.py,tipo_2/ar32/2.py,2
tipo_2/ar33/1.py,tipo_2/ar33/2.py,2
tipo_2/ar34/1.py,tipo_2/ar34/2.py,2
tipo_2/ar35/1.py,tipo_2/ar35/2.py,2
tipo_3/ar8/1/r/53/0/835213.py,tipo_3/ar8/2/r/49/0/835366.py,3
tipo_3/ar54/1/r/49/0/835366.py,tipo_3/ar54/2/b/46/0/927583.py,3
tipo_3/ar16/1/r/53/0/835213.py,tipo_3/ar16/2/b/46/1/927800.py,3
tipo_3/ar53/1/r/49/0/835366.py,tipo_3/ar53/2/b/41/2/834569.py,3
tipo_3/ar61/1/r/52/0/835240.py,tipo_3/ar61/2/r/55/0/835129.py,3
tipo_3/ar22/1/r/56/0/834702.py,tipo_3/ar22/2/r/54/1/835203.py,3
tipo_3/ar10/1/r/53/0/835213.py,tipo_3/ar10/2/r/57/0/834690.py,3
tipo_3/ar9/1/r/53/0/835213.py,tipo_3/ar9/2/r/52/0/835240.py,3
tipo_3/ar13/1/r/53/0/835213.py,tipo_3/ar13/2/r/51/1/835311.py,3
tipo_3/ar5/1/r/53/1/835216.py,tipo_3/ar5/2/r/50/0/835339.py,3
